Occurrences,Average Signal Strength (dBm),Average Bit Rate (Mbps),Mac Address
1,-71.0,6.5,4f:fe:0f:5f:98:0c
1,-71.0,24.0,4c:2e:5e:ff:4e:6d
1,-73.0,24.0,18:87:40:c2:e9:0c
1,-68.0,130.0,f8:89:d2:41:18:d5
1,-76.0,13.0,a5:0a:ab:b7:5b:7c
1,-68.0,43.3333,ac:c5:e2:bd:f7:57
1,-75.0,26.0,9b:f0:31:04:19:97
1,-48.0,26.0,5f:38:77:46:a6:ac
1,-73.0,1.0,7e:68:a2:db:39:a1
1,-72.0,24.0,2c:a7:ef:0b:f6:0b
1,-71.0,24.0,ac:3e:b1:01:b9:2b
1,-67.0,1.0,96:cd:05:dc:3b:c2
1,-70.0,1.0,ea:83:d9:f4:17:f2
1,-68.0,1.0,fa:56:99:7b:19:27
1,-76.0,24.0,68:4a:e9:29:45:42
1,-70.0,24.0,98:b8:bc:df:63:2c
1,-76.0,24.0,a0:8c:fd:c5:23:c6
1,-78.0,26.0,8c:f0:71:41:5f:bd
1,-75.0,24.0,f4:a4:75:71:94:04
1,-47.0,24.0,90:0f:0c:87:11:97
1,-75.0,24.0,8c:ec:4b:97:7f:11
1,-77.0,24.0,b4:b5:2f:bc:bf:0c
1,-67.0,72.2222,b8:ae:6d:9b:bf:98
1,-53.0,144.444,84:8b:8c:7a:3d:e9
1,-53.0,144.444,2c:db:07:94:3f:4f
1,-70.0,24.0,a8:30:bc:9f:22:d1
1,-52.0,144.444,40:1c:83:cf:0f:c1
1,-52.0,144.444,50:28:4a:e5:ab:af
1,-72.0,58.5,20:75:ed:64:31:7a
1,-66.0,130.0,f1:74:d2:71:1b:79
1,-54.0,130.0,7f:4c:dd:ca:2f:48
1,-71.0,72.2222,7b:27:33:24:8a:60
1,-62.0,104.0,3d:35:43:71:18:d5
1,-75.0,6.5,cd:c5:59:5e:74:82
1,-49.0,144.444,88:60:fb:e2:2d:bd
1,-76.0,14.4444,88:f0:91:16:19:97
1,-70.0,24.0,2c:be:eb:60:7f:4c
1,-77.0,14.4444,c8:d5:31:04:19:97
1,-77.0,14.4444,67:5e:60:05:19:97
1,-74.0,58.5,f8:89:d2:c7:c7:29
1,-77.0,24.0,9a:47:30:fd:2b:8a
1,-72.0,24.0,a8:4a:28:87:83:0d
1,-52.0,24.0,50:5a:65:c3:df:19
1,-68.0,24.0,3c:19:5e:04:1d:66
1,-77.0,6.5,14:4e:40:25:d8:a1
1,-73.0,72.2222,d4:ac:31:57:c8:f4
1,-73.0,52.0,f8:89:d2:c7:07:15
1,-73.0,52.0,f8:a7:3d:3d:1e:77
1,-72.0,52.0,43:8f:c7:ce:a0:9a
1,-68.0,24.0,80:54:9c:15:65:6d
1,-77.0,14.4444,00:00:3a:05:00:20
1,-68.0,24.0,d4:8a:39:22:da:94
1,-51.0,24.0,8c:c6:81:ba:ce:e9
1,-46.0,24.0,72:5f:d1:c6:e3:50
1,-75.0,39.0,a0:02:dc:1b:d6:88
1,-70.0,24.0,50:e7:b7:2b:3a:ff
1,-69.0,24.0,80:54:9c:54:93:ed
1,-50.0,24.0,14:7d:da:cb:df:ec
1,-74.0,58.5,b4:51:48:d8:72:4a
1,-75.0,21.6667,8c:83:6f:64:14:4e
1,-77.0,21.6667,b1:f0:31:04:d9:0b
1,-65.0,130.0,db:92:d2:71:18:d5
1,-72.0,72.2222,75:07:5d:00:60:17
1,-50.0,24.0,3c:19:5e:cf:bc:f0
1,-78.0,86.6667,23:dd:f0:c5:4f:78
1,-64.0,104.0,51:11:75:13:36:6e
1,-72.0,72.2222,cd:27:5a:14:c9:1c
1,-73.0,72.2222,2d:ab:9c:c9:45:8c
1,-64.0,104.0,fe:89:d2:71:18:d5
1,-64.0,104.0,9e:00:0c:07:ac:d2
1,-53.0,24.0,68:4a:e9:c9:04:11
1,-55.0,130.0,a0:29:42:01:6e:72
1,-55.0,130.0,4c:44:5b:31:a5:47
1,-53.0,130.0,dc:41:a9:63:8c:b0
1,-54.0,130.0,b0:da:d6:01:83:fe
1,-54.0,24.0,68:4a:e9:06:4c:9f
1,-71.0,24.0,3a:41:78:80:40:c0
1,-71.0,24.0,76:32:7a:01:1f:d3
1,-58.0,24.0,dc:21:5c:a2:20:8d
1,-71.0,24.0,5c:ed:f4:6c:91:89
1,-58.0,24.0,b0:a4:60:2b:8f:e5
1,-72.0,72.2222,dc:a1:c5:20:ed:71
1,-50.0,24.0,10:82:d7:34:0f:07
1,-75.0,72.2222,a6:7c:31:89:9a:ed
1,-63.0,104.0,c7:66:9a:e9:15:9b
1,-54.0,144.444,b1:fd:42:a0:ab:1a
1,-76.0,21.6667,74:f4:24:17:ed:ca
1,-77.0,21.6667,8d:7e:d1:04:00:20
1,-67.0,1.0,b2:34:0f:b6:0e:ba
1,-49.0,24.0,3c:a6:f6:4e:bd:1a
1,-72.0,24.0,74:a7:ea:d8:d8:60
1,-76.0,6.5,b8:b7:b3:3d:18:97
1,-64.0,1.0,06:ae:23:56:39:d4
1,-47.0,24.0,92:2d:d2:84:e2:77
1,-77.0,39.0,21:93:b3:b9:04:b5
1,-64.0,130.0,1e:fe:0b:41:f7:ab
1,-75.0,26.0,16:c4:1d:88:db:c2
1,-77.0,39.0,a4:ba:6a:45:34:9f
1,-77.0,39.0,19:7c:d1:c7:07:75
1,-63.0,130.0,f8:89:12:b2:09:bf
1,-58.0,24.0,72:84:0a:6d:b4:92
1,-63.0,65.0,f8:b9:d3:71:18:d5
1,-71.0,24.0,2c:a7:ef:9f:04:05
1,-74.0,58.5,b0:58:9c:e6:98:7a
1,-77.0,39.0,4c:cf:56:11:ff:28
1,-71.0,72.2222,ca:6c:71:32:35:8b
1,-76.0,39.0,69:db:0d:3a:7f:3f
1,-55.0,24.0,d8:cf:bf:9e:76:94
1,-59.0,130.0,72:f1:31:04:19:97
1,-57.0,24.0,18:ab:1d:c0:c9:69
1,-58.0,144.444,88:f0:98:68:7d:12
1,-63.0,78.0,fb:f7:91:b0:5a:56
1,-78.0,39.0,c8:36:19:7c:41:8f
1,-73.0,24.0,40:e9:9b:23:18:e9
1,-76.0,39.0,38:15:0d:d5:fd:74
1,-74.0,26.0,f8:89:d2:c7:07:b5
1,-63.0,115.556,ea:1c:b4:10:df:6a
1,-76.0,26.0,b6:a1:e3:ac:a5:da
1,-76.0,26.0,a4:55:90:44:34:1d
1,-71.0,72.2222,c4:f9:24:87:a6:cb
1,-67.0,130.0,a2:89:83:52:d3:93
1,-74.0,1.0,c4:0a:cb:25:ce:60
1,-52.0,24.0,62:ee:63:31:ae:fe
1,-46.0,24.0,66:3d:ce:59:5f:37
1,-46.0,24.0,b6:ce:68:54:36:6a
1,-72.0,24.0,9a:c1:2a:85:1e:93
1,-76.0,26.0,a4:d5:4e:ce:e9:aa
1,-74.0,19.5,a7:55:90:b0:37:1f
1,-69.0,57.7778,a8:18:5f:fb:e1:81
1,-75.0,39.0,f8:81:e7:0d:db:a8
1,-75.0,19.5,f8:89:d2:bf:d0:8f
1,-75.0,19.5,9c:89:f2:87:32:34
1,-74.0,19.5,2a:d1:ee:44:34:1f
1,-75.0,19.5,f8:89:d2:c7:07:f5
1,-75.0,19.5,f8:83:f4:6f:df:7d
1,-76.0,39.0,0b:8d:c7:e0:9c:54
1,-76.0,26.0,b6:aa:c9:89:9f:66
1,-75.0,26.0,a4:b3:5f:48:e4:82
1,-77.0,24.0,2c:3b:70:9d:ee:25
1,-76.0,39.0,0c:8a:4d:7d:86:d7
1,-53.0,130.0,e0:d0:45:67:47:d8
1,-72.0,24.0,bc:61:93:c3:c4:dc
1,-52.0,24.0,f8:71:0c:66:3c:a5
1,-70.0,24.0,2c:be:eb:34:48:81
1,-73.0,24.0,e4:34:93:41:96:c0
1,-72.0,24.0,30:94:35:10:db:b3
1,-75.0,1.0,62:80:f8:d7:3d:19
1,-71.0,24.0,28:c2:1f:43:a1:3a
1,-72.0,24.0,04:bd:bf:2e:d4:c2
1,-73.0,13.0,f8:89:32:b0:90:78
1,-64.0,130.0,f8:89:d2:31:1b:d5
1,-70.0,72.2222,80:70:98:35:a0:86
1,-70.0,72.2222,b2:40:a5:74:b7:cd
1,-64.0,130.0,00:00:6b:d4:00:20
1,-74.0,39.0,a0:02:dc:1b:96:57
1,-69.0,24.0,5c:ed:f4:3b:21:0d
1,-72.0,24.0,f4:02:28:1f:97:17
1,-67.0,130.0,d7:9a:61:77:99:73
1,-69.0,5.5,16:ea:ee:fb:97:43
1,-77.0,6.5,c5:c2:30:2e:e6:b7
1,-70.0,24.0,4c:56:9d:7f:54:c1
1,-52.0,24.0,0c:ec:8d:46:6d:3d
1,-64.0,130.0,2e:86:d2:71:18:d5
1,-60.0,144.444,ba:1f:31:7f:f0:06
1,-60.0,144.444,3c:61:12:91:14:71
1,-61.0,24.0,04:e5:98:c9:bc:29
1,-50.0,24.0,20:a6:0c:69:52:fd
1,-49.0,39.0,88:80:35:04:19:97
1,-71.0,72.2222,a8:22:39:56:2e:c5
1,-69.0,72.2222,28:64:2b:8d:38:a1
1,-69.0,72.2222,fa:2b:5b:d9:42:b6
1,-71.0,24.0,40:fa:fe:c5:fd:57
1,-70.0,24.0,f8:e7:a0:19:4c:4f
1,-76.0,24.0,d0:37:45:7f:c6:3c
1,-76.0,39.0,f8:89:d2:cf:ba:bc
1,-77.0,39.0,a1:45:f1:8b:68:91
1,-71.0,26.0,69:89:d2:c7:07:f5
1,-57.0,144.444,b3:fb:70:1d:39:90
1,-73.0,39.0,a8:b8:25:c2:fe:28
1,-75.0,58.5,f8:89:d2:c7:77:38
1,-74.0,39.0,f8:89:d2:c7:a7:3f
1,-74.0,39.0,f7:a3:9c:c7:07:75
1,-76.0,24.0,ac:1f:6b:de:42:18
1,-74.0,39.0,78:49:db:21:20:ed
1,-72.0,24.0,62:62:62:fc:ec:a1
1,-73.0,24.0,d0:49:7c:d8:ea:cf
1,-72.0,24.0,70:5e:55:54:3a:01
1,-76.0,24.0,84:7b:57:ca:8a:7d
1,-68.0,72.2222,5c:ed:d7:18:17:05
1,-60.0,1.0,56:b7:37:a4:8b:46
1,-70.0,72.2222,5c:ed:24:67:21:96
1,-73.0,78.0,e8:f7:21:dc:54:a5
1,-73.0,24.0,ac:bc:b5:4a:51:dd
1,-73.0,52.0,e8:f7:d1:86:5a:56
1,-73.0,78.0,b8:c6:ca:53:6f:56
1,-73.0,78.0,07:23:1e:e4:96:80
1,-71.0,78.0,e5:f7:91:b0:5a:56
1,-71.0,78.0,40:a5:ef:67:52:ac
1,-72.0,39.0,fa:89:d2:c7:07:75
1,-46.0,24.0,f8:89:d2:e6:43:cb
1,-70.0,24.0,9c:28:f7:e7:64:a8
1,-53.0,24.0,c8:b2:9b:0d:93:55
1,-63.0,1.0,aa:c2:5a:0f:22:78
1,-76.0,24.0,dc:e9:94:42:9d:ad
1,-74.0,52.0,c4:26:4c:29:fd:d6
1,-72.0,24.0,88:a3:03:2d:4b:2b
1,-73.0,78.0,e8:f7:91:b0:32:db
1,-71.0,24.0,60:6e:e8:df:f0:37
1,-70.0,72.2222,6e:9e:4a:f3:31:cc
1,-72.0,78.0,d0:a0:7d:d4:5a:56
1,-73.0,52.0,f8:89:d2:c7:07:7d
1,-71.0,13.0,78:ee:8c:63:0e:28
1,-76.0,26.0,88:ec:31:04:19:97
1,-74.0,52.0,9d:aa:c7:60:35:ca
1,-56.0,24.0,98:43:fa:95:a1:2d
1,-73.0,52.0,17:b2:44:4a:9e:f8
1,-73.0,52.0,ab:f8:e2:c0:2a:13
1,-74.0,58.5,e1:67:b7:7f:6b:43
1,-74.0,52.0,f8:89:d2:47:0b:7b
1,-73.0,52.0,b0:4c:93:4c:1e:81
1,-53.0,24.0,ec:42:cc:5b:f5:e6
1,-75.0,78.0,18:59:30:28:7a:56
1,-76.0,39.0,ce:45:3d:75:06:75
1,-73.0,52.0,1f:4c:47:78:36:75
1,-72.0,78.0,44:e8:91:4c:74:b0
1,-73.0,19.5,e8:37:8d:b0:5a:56
1,-73.0,52.0,f8:89:d2:2f:70:fc
1,-76.0,72.2222,77:ab:39:57:2e:d2
1,-53.0,24.0,c8:94:02:ab:b8:6b
1,-75.0,26.0,88:f0:fd:6f:26:09
1,-49.0,24.0,12:fd:64:aa:d1:36
1,-72.0,65.0,99:5d:a0:3d:df:78
1,-72.0,24.0,28:02:2e:25:61:f1
1,-75.0,58.5,a0:02:dc:1b:36:d5
1,-50.0,24.0,10:68:38:40:63:3f
1,-68.0,78.0,5c:ed:f4:75:c7:a5
1,-68.0,78.0,5c:ed:f4:80:c4:71
1,-72.0,39.0,a0:02:dc:1b:36:c9
1,-66.0,78.0,a8:c3:9f:75:ce:fc
1,-73.0,72.2222,64:87:4f:f7:c2:85
1,-75.0,13.0,47:32:ac:c4:07:75
1,-71.0,52.0,9f:02:dc:1b:96:b7
1,-66.0,52.0,e8:f7:91:b0:5a:ea
1,-50.0,24.0,3a:6f:8d:10:c2:76
1,-49.0,24.0,28:cd:c4:71:d6:ff
1,-67.0,78.0,76:0b:29:80:c4:71
1,-75.0,19.5,f8:89:d2:c7:07:93
1,-72.0,52.0,ed:7a:7c:56:07:75
1,-77.0,19.5,ec:92:7c:6c:0b:17
1,-74.0,39.0,47:e2:56:3e:8a:b9
1,-73.0,24.0,f0:65:ae:97:ba:f8
1,-69.0,104.0,8c:d4:c4:86:1c:60
1,-51.0,28.8889,88:f0:31:04:19:17
1,-55.0,24.0,06:d8:39:bd:03:4a
1,-53.0,24.0,0e:f9:d7:f7:94:60
1,-74.0,19.5,f8:89:d2:47:8d:56
1,-75.0,26.0,f1:27:53:e2:9d:ee
2,-70.5,24.0,20:0e:2b:f0:02:13
2,-60.5,24.0,a4:55:90:36:9f:d2
2,-46.5,24.0,0c:e4:41:ec:d8:a9
2,-46.5,24.0,70:72:fe:5a:94:69
2,-62.0,1.0,d6:38:de:2a:cd:61
2,-50.5,24.0,1c:91:80:cd:91:5d
2,-49.0,24.0,a4:83:e7:a0:8d:6b
2,-51.5,24.0,ba:a6:f5:05:1a:01
2,-69.5,24.0,58:b9:65:e2:ca:e8
2,-49.0,24.0,f2:c5:51:3f:00:28
2,-71.5,24.0,a0:46:5a:52:60:5c
2,-47.0,24.0,26:d5:71:1f:cc:fb
2,-51.5,24.0,e0:9d:31:14:7e:08
2,-58.5,24.0,04:fa:83:85:78:77
2,-59.5,1.0,ee:f7:9e:70:5d:2e
2,-65.0,1.0,86:fb:a3:4a:46:76
2,-58.0,24.0,dc:41:a9:63:12:d0
2,-76.0,1.0,ba:c1:71:df:24:04
2,-51.0,24.0,44:8c:00:e1:f5:21
2,-49.5,24.0,60:14:b3:76:68:7f
2,-54.0,130.0,a0:59:50:53:9d:28
2,-54.0,130.0,d4:d8:53:89:5d:46
2,-49.0,24.0,78:af:08:05:d5:cf
2,-69.0,24.0,40:c7:11:22:e9:5d
2,-51.0,24.0,f2:6d:1b:df:00:28
2,-54.0,130.0,00:91:9e:a0:98:c6
2,-63.5,24.0,6c:97:6d:01:41:97
2,-54.0,130.0,0c:9a:3c:b8:80:fd
2,-46.0,24.0,88:e9:fe:6c:5f:77
2,-70.0,24.0,cc:69:fa:5b:d3:9f
2,-70.0,24.0,8c:ec:7b:1c:26:ae
2,-69.5,24.0,d4:8a:39:a9:70:e9
2,-70.0,24.0,a8:ab:b5:50:84:d6
2,-54.0,130.0,84:1b:77:b5:00:a9
2,-67.5,1.0,aa:84:25:72:24:63
2,-48.0,24.0,34:6f:24:c4:43:85
2,-52.5,24.0,ac:d1:b8:da:56:1f
2,-53.0,24.0,70:66:55:b3:2c:9f
2,-71.0,24.0,d8:dc:40:72:61:4f
2,-71.5,24.0,c0:44:42:55:04:b3
2,-55.5,137.22199999999998,54:6c:eb:f6:77:91
2,-55.0,130.72199999999998,50:84:92:d4:7a:ba
2,-65.0,1.0,52:db:7b:65:89:47
2,-52.0,24.0,5c:ba:ef:37:55:d9
2,-78.0,24.0,00:11:74:46:8b:af
2,-70.0,24.0,1c:0d:7d:e1:e8:cb
2,-69.5,24.0,20:32:c6:6e:2c:aa
2,-54.0,137.22199999999998,98:43:fa:f2:9c:2f
2,-72.5,24.0,dc:b7:2e:fc:4a:aa
2,-51.0,24.0,30:d1:6b:f4:5f:d7
2,-54.0,24.0,90:78:41:04:75:c7
2,-54.5,137.22199999999998,be:a7:72:5f:d9:e0
2,-74.0,1.0,c6:16:31:9d:ad:78
2,-53.0,24.0,bc:d0:74:2e:0e:b7
2,-61.5,24.0,ac:16:15:0b:97:a4
2,-51.5,24.0,5c:ba:ef:5d:12:6d
2,-62.0,24.0,8a:33:e8:a8:f6:73
2,-48.5,24.0,46:ab:8f:5e:91:3d
2,-70.5,24.0,74:71:8b:84:85:52
2,-52.5,137.22199999999998,30:89:4a:70:10:66
2,-68.0,1.0,da:a8:ca:d5:71:b4
2,-49.5,24.0,b2:bb:b8:7f:d8:23
2,-71.5,24.0,10:ec:81:66:aa:d6
2,-70.5,24.0,74:f2:fa:3f:f7:b5
2,-73.5,24.0,5c:41:5a:79:8c:70
2,-73.0,24.0,90:17:c8:98:47:0a
2,-61.0,24.0,00:5b:94:96:7b:40
2,-71.5,24.0,da:22:91:94:8c:d2
2,-52.5,137.22199999999998,64:bc:58:3b:2d:1a
2,-69.5,24.0,5c:17:cf:d8:0b:91
2,-62.0,24.0,80:ce:b9:8d:ef:48
2,-48.5,24.0,70:d8:23:32:f4:74
2,-72.0,24.0,08:aa:55:87:e7:2f
2,-62.5,1.0,46:fb:8b:90:24:39
2,-60.0,1.0,56:6e:09:15:f5:67
2,-72.0,24.0,b4:1a:1d:ba:b4:68
2,-56.5,24.0,60:e3:2b:a9:22:ca
2,-72.0,24.0,b6:68:76:fe:eb:5c
2,-51.0,24.0,dc:41:a9:1e:ca:3a
2,-72.0,24.0,bc:6a:d1:77:7e:b7
2,-46.0,24.0,32:63:db:e7:7c:d2
2,-47.5,24.0,3e:0b:5b:86:ef:ef
2,-50.5,24.0,70:b7:aa:4c:ed:b3
2,-66.5,1.0,82:05:0c:6e:b6:4e
2,-69.0,3.25,e2:40:2d:41:54:58
2,-72.0,24.0,38:6a:77:ad:5f:df
2,-72.5,24.0,e4:8c:73:0a:f4:15
2,-63.5,24.0,d0:33:11:d7:e9:2e
2,-48.0,24.0,ba:bc:23:d3:c8:07
2,-53.0,24.0,f4:26:79:37:7b:4d
2,-52.5,24.0,b4:8c:9d:31:5e:d1
2,-65.5,1.0,da:06:37:8c:cd:47
2,-54.0,24.0,58:1c:f8:e0:82:56
2,-71.0,24.0,68:b6:91:c9:e6:4c
2,-67.5,24.0,60:6e:e8:f7:b1:82
2,-61.0,24.0,04:c8:07:05:e5:6e
2,-70.5,1.0,4a:9b:bc:ec:09:50
2,-66.0,1.0,42:e0:b9:99:cf:e6
2,-73.0,24.0,66:ad:74:1e:29:8c
2,-56.0,1.0,7a:61:32:5c:be:35
2,-49.5,24.0,a6:10:5e:ab:50:09
2,-49.5,24.0,ac:d5:64:94:3a:9b
2,-71.0,1.0,72:1a:bc:41:30:c7
2,-51.0,24.0,38:7a:0e:cf:de:dd
2,-48.0,24.0,cc:15:31:da:fd:b3
2,-61.0,24.0,b2:68:46:51:78:6b
2,-50.5,24.0,f4:0e:01:5d:87:dc
2,-61.5,24.0,98:22:6e:23:4e:0e
2,-67.5,1.0,ec:01:ee:b7:1e:c0
2,-66.0,1.0,e2:c6:f7:25:4c:8a
2,-47.5,24.0,20:3b:69:33:29:66
2,-50.5,24.0,5c:ba:ef:97:fe:47
2,-46.0,24.0,a8:fe:9d:b9:51:52
2,-72.0,24.0,a8:e6:21:5e:ee:eb
2,-71.0,24.0,de:02:29:0d:f4:a8
2,-72.5,24.0,30:bb:7d:53:a8:4b
2,-46.5,24.0,dc:55:83:d3:7e:d9
2,-49.0,24.0,62:41:cb:0b:55:95
2,-71.5,24.0,f0:a3:5a:13:36:1d
